name,symbol,decimals,address
Wrapped liquid staked Ether 2.0,wstETH,18,0xf610A9dfB7C89644979b4A0f27063E9e7d7Cda32
Aave Token,AAVE,18,0x79379C0E09a41d7978f883a56246290eE9a8c4d3
Wrapped Ether,WETH,18,0x5300000000000000000000000000000000000004
Rocket Pool ETH,rETH,18,0x53878B874283351D26d206FA512aEcE1Bef6C0dD
Curve DAO Token,CRV,18,0xB755039eDc7910C1F1BD985D48322E55A31AC0bF
Tether USD,USDT,6,0xf55BEC9cafDbE8730f096Aa55dad6D22d44099Df
USD Coin,USDC,6,0x06eFdBFf2a14a7c8E15944D1F4A48F9F95F663A4
Dai Stablecoin,DAI,18,0xcA77eB3fEFe3725Dc33bccB54eDEFc3D9f764f97
